Resistance	Thickness	Time_R	Time_T
34.98	0.283	15:11:38.886075	15:11:38.886442
34.89	0.283	15:11:39.074156	15:11:39.088387
34.82	0.283	15:11:39.385976	15:11:39.386295
34.83	0.283	15:11:39.572167	15:11:39.587008
34.82	0.283	15:11:39.779460	15:11:39.788912
34.72	0.283	15:11:40.072917	15:11:40.086934
34.7	0.283	15:11:40.274490	15:11:40.289593
34.74	0.283	15:11:40.573795	15:11:40.587868
34.72	0.283	15:11:40.776869	15:11:40.777125
34.65	0.283	15:11:41.073250	15:11:41.087943
34.65	0.283	15:11:41.279465	15:11:41.279781
34.66	0.283	15:11:41.579083	15:11:41.579340
34.6	0.283	15:11:41.783894	15:11:41.784226
34.58	0.283	15:11:42.084168	15:11:42.084438
34.62	0.283	15:11:42.275030	15:11:42.289792
34.61	0.283	15:11:42.480071	15:11:42.480626
34.52	0.283	15:11:42.779800	15:11:42.780126
34.52	0.283	15:11:42.986745	15:11:42.987240
34.52	0.283	15:11:43.270847	15:11:43.285416
34.5	0.283	15:11:43.473892	15:11:43.487739
34.48	0.283	15:11:43.772243	15:11:43.786894
34.48	0.283	15:11:43.977784	15:11:43.978098
34.49	0.283	15:11:44.279407	15:11:44.279704
34.41	0.283	15:11:44.481998	15:11:44.482244
34.39	0.283	15:11:44.779752	15:11:44.780005
34.46	0.283	15:11:44.982517	15:11:44.982781
34.44	0.283	15:11:45.181245	15:11:45.185587
34.36	0.283	15:11:45.484252	15:11:45.484523
34.37	0.283	15:11:45.679405	15:11:45.685877
34.36	0.283	15:11:45.970381	15:11:45.985322
34.32	0.283	15:11:46.177951	15:11:46.178310
34.32	0.283	15:11:46.478313	15:11:46.478579
34.32	0.283	15:11:46.683458	15:11:46.683806
34.31	0.283	15:11:46.982519	15:11:46.982792
34.31	0.283	15:11:47.172877	15:11:47.187570
34.27	0.283	15:11:47.473229	15:11:47.487728
34.26	0.283	15:11:47.678623	15:11:47.678931
34.27	0.283	15:11:47.883263	15:11:47.883803
34.21	0.283	15:11:48.181520	15:11:48.181826
34.17	0.283	15:11:48.378515	15:11:48.384355
34.19	0.283	15:11:48.684247	15:11:48.684498
34.23	0.283	15:11:48.872864	15:11:48.887623
34.23	0.283	15:11:49.173784	15:11:49.192612
34.24	0.283	15:11:49.375770	15:11:49.376032
34.29	0.283	15:11:49.677913	15:11:49.678443
34.23	0.283	15:11:49.880436	15:11:49.880825
34.18	0.283	15:11:50.181752	15:11:50.182074
34.2	0.283	15:11:50.371582	15:11:50.386575
34.2	0.283	15:11:50.670633	15:11:50.685322
34.12	0.283	15:11:50.875276	15:11:50.875626
34.04	0.283	15:11:51.176559	15:11:51.176832
34.1	0.283	15:11:51.381181	15:11:51.381565
34.08	0.283	15:11:51.570625	15:11:51.585313
34.03	0.283	15:11:51.869754	15:11:51.884715
34.05	0.283	15:11:52.075094	15:11:52.075630
34.02	0.283	15:11:52.374428	15:11:52.374689
33.99	0.283	15:11:52.578916	15:11:52.579175
33.96	0.283	15:11:52.877179	15:11:52.877508
34.02	0.283	15:11:53.083274	15:11:53.083534
34.01	0.283	15:11:53.287343	15:11:53.288034
33.92	0.283	15:11:53.570973	15:11:53.585737
33.93	0.283	15:11:53.868986	15:11:53.883815
33.94	0.283	15:11:54.075420	15:11:54.075813
33.91	0.283	15:11:54.280019	15:11:54.280266
33.91	0.283	15:11:54.578554	15:11:54.578806
33.92	0.283	15:11:54.782736	15:11:54.782997
33.86	0.283	15:11:55.080177	15:11:55.080464
33.83	0.283	15:11:55.267780	15:11:55.281597
33.83	0.283	15:11:55.583006	15:11:55.583285
33.84	0.283	15:11:55.772734	15:11:55.786979
33.84	0.283	15:11:55.976868	15:11:55.977429
33.81	0.283	15:11:56.272726	15:11:56.286207
33.78	0.283	15:11:56.477060	15:11:56.477314
33.83	0.283	15:11:56.776633	15:11:56.777118
33.83	0.283	15:11:56.982832	15:11:56.983116
33.75	0.283	15:11:57.267605	15:11:57.282265
33.75	0.283	15:11:57.473262	15:11:57.473541
33.78	0.283	15:11:57.775277	15:11:57.775954
33.76	0.283	15:11:57.973498	15:11:57.973907
33.72	0.283	15:11:58.271461	15:11:58.285921
33.74	0.283	15:11:58.474743	15:11:58.475045
33.75	0.283	15:11:58.770681	15:11:58.784725
33.68	0.283	15:11:58.972413	15:11:58.972979
33.66	0.283	15:11:59.176972	15:11:59.177292
33.72	0.283	15:11:59.475759	15:11:59.476035
33.7	0.283	15:11:59.679100	15:11:59.679677
33.64	0.283	15:11:59.977560	15:11:59.977853
33.65	0.283	15:12:00.172530	15:12:00.181947
33.65	0.283	15:12:00.481079	15:12:00.481413
33.66	0.283	15:12:00.668457	15:12:00.683377
33.65	0.283	15:12:00.966991	15:12:00.980956
33.57	0.283	15:12:01.172703	15:12:01.173023
33.57	0.283	15:12:01.471723	15:12:01.486630
33.61	0.283	15:12:01.676754	15:12:01.677266
33.58	0.283	15:12:01.879504	15:12:01.879865
33.56	0.283	15:12:02.175020	15:12:02.175300
33.57	0.283	15:12:02.378259	15:12:02.378517
33.52	0.283	15:12:02.672428	15:12:02.672722
33.5	0.283	15:12:02.878152	15:12:02.878453
33.49	0.283	15:12:03.180611	15:12:03.180939
33.49	0.283	15:12:03.370843	15:12:03.385140
33.5	0.283	15:12:03.669038	15:12:03.682668
33.49	0.283	15:12:03.870061	15:12:03.884968
33.46	0.283	15:12:04.074217	15:12:04.074803
33.5	0.283	15:12:04.369905	15:12:04.384667
33.5	0.283	15:12:04.571407	15:12:04.571910
33.42	0.283	15:12:04.870994	15:12:04.884776
33.41	0.283	15:12:05.074226	15:12:05.074480
33.46	0.283	15:12:05.370361	15:12:05.384159
33.44	0.283	15:12:05.574668	15:12:05.574958
33.4	0.283	15:12:05.873833	15:12:05.874129
33.42	0.283	15:12:06.077109	15:12:06.077443
33.43	0.283	15:12:06.378304	15:12:06.378574
33.37	0.283	15:12:06.565770	15:12:06.579034
33.35	0.283	15:12:06.882675	15:12:06.883042
33.41	0.283	15:12:07.086104	15:12:07.086527
33.39	0.283	15:12:07.278396	15:12:07.279093
33.33	0.283	15:12:07.577693	15:12:07.577982
33.34	0.283	15:12:07.877855	15:12:07.878222
33.35	0.283	15:12:08.066543	15:12:08.080054
33.32	0.283	15:12:08.386913	15:12:08.387196
33.34	0.283	15:12:08.570413	15:12:08.570673
33.34	0.283	15:12:08.774265	15:12:08.774781
33.34	0.283	15:12:09.071487	15:12:09.071806
33.27	0.283	15:12:09.276549	15:12:09.276811
33.26	0.283	15:12:09.573626	15:12:09.573935
33.31	0.283	15:12:09.776940	15:12:09.777380
33.28	0.283	15:12:10.069635	15:12:10.084420
33.27	0.283	15:12:10.274385	15:12:10.274678
33.28	0.283	15:12:10.477696	15:12:10.477979
33.23	0.283	15:12:10.776306	15:12:10.776571
33.2	0.283	15:12:10.979733	15:12:10.980001
33.2	0.283	15:12:11.275501	15:12:11.275759
33.26	0.283	15:12:11.479104	15:12:11.479383
33.24	0.283	15:12:11.779130	15:12:11.779396
33.19	0.283	15:12:11.969688	15:12:11.969997
33.21	0.283	15:12:12.268361	15:12:12.282677
33.19	0.283	15:12:12.473851	15:12:12.474112
33.16	0.283	15:12:12.679476	15:12:12.679760
33.2	0.283	15:12:12.975895	15:12:12.976163
33.21	0.283	15:12:13.166818	15:12:13.179549
33.13	0.283	15:12:13.477146	15:12:13.477428
33.12	0.283	15:12:13.678715	15:12:13.678994
33.13	0.283	15:12:13.979052	15:12:13.979325
33.14	0.283	15:12:14.167100	15:12:14.182060
33.16	0.283	15:12:14.468626	15:12:14.483653
33.11	0.283	15:12:14.672329	15:12:14.672940
33.09	0.283	15:12:14.970572	15:12:14.970840
33.15	0.283	15:12:15.174078	15:12:15.174450
33.14	0.283	15:12:15.376943	15:12:15.377269
33.07	0.283	15:12:15.674553	15:12:15.674807
33.08	0.283	15:12:15.878173	15:12:15.878504
33.1	0.283	15:12:16.175552	15:12:16.175883
33.08	0.283	15:12:16.378332	15:12:16.378655
33.06	0.283	15:12:16.676851	15:12:16.677119
33.05	0.283	15:12:16.864092	15:12:16.878945
33.05	0.283	15:12:17.176516	15:12:17.176861
33.1	0.283	15:12:17.365500	15:12:17.380313
33.07	0.283	15:12:17.569840	15:12:17.570130
33.04	0.283	15:12:17.865079	15:12:17.879314
33.05	0.283	15:12:18.068898	15:12:18.069178
33.02	0.283	15:12:18.366668	15:12:18.380726
